id,username,date,text,time,state,split_text
920182673292787713,fl511_panhandl,2017-10-17,cleared: planned construction in escambia on i-10 east at exit 10a us-29 left lane blocked last updated at 09:13:32pm,07:00:20,Florida,"['cleared:', 'planned', 'construction', 'in', 'escambia', 'on', 'i-10', 'east', 'at', 'exit', '10a', 'us-29', 'left', 'lane', 'blocked', 'last', 'updated', 'at', '09:13:32pm']"
920177639125635073,fl511_panhandl,2017-10-17,updated: planned construction in okaloosa on i-10 east at mm 49 left lane blocked last updated at 02:40:09am   …,06:40:19,Florida,"['updated:', 'planned', 'construction', 'in', 'okaloosa', 'on', 'i-10', 'east', 'at', 'mm', '49', 'left', 'lane', 'blocked', 'last', 'updated', 'at', '02:40:09am', '…']"
920159518612512769,fl511_panhandl,2017-10-17,updated: planned construction in escambia on i-10 west beyond exit 12 i-110 2 left lanes blocked last updated  …,05:28:19,Florida,"['updated:', 'planned', 'construction', 'in', 'escambia', 'on', 'i-10', 'west', 'beyond', 'exit', '12', 'i-110', '2', 'left', 'lanes', 'blocked', 'last', 'updated', '…']"
920156510596026368,fl511_panhandl,2017-10-17,updated: planned construction in jackson on i-10 east at exit 152 left lane blocked last updated at 01:15:14am   …,05:16:22,Florida,"['updated:', 'planned', 'construction', 'in', 'jackson', 'on', 'i-10', 'east', 'at', 'exit', '152', 'left', 'lane', 'blocked', 'last', 'updated', 'at', '01:15:14am', '…']"
920154237337849856,fl511_panhandl,2017-10-17,new: planned construction in escambia on i-10 west beyond exit 12 i-110 left lane blocked last updated at  …,05:07:20,Florida,"['new:', 'planned', 'construction', 'in', 'escambia', 'on', 'i-10', 'west', 'beyond', 'exit', '12', 'i-110', 'left', 'lane', 'blocked', 'last', 'updated', 'at', '…']"
920151724630970369,fl511_panhandl,2017-10-17,updated: planned construction in okaloosa on i-10 east at mm 49 left lane blocked last updated at 12:56:22am   …,04:57:21,Florida,"['updated:', 'planned', 'construction', 'in', 'okaloosa', 'on', 'i-10', 'east', 'at', 'mm', '49', 'left', 'lane', 'blocked', 'last', 'updated', 'at', '12:56:22am', '…']"
920151465095778304,fl511_panhandl,2017-10-17,updated: planned construction in okaloosa on i-10 west before exit 45 holt right lane blocked last updated at  …,04:56:19,Florida,"['updated:', 'planned', 'construction', 'in', 'okaloosa', 'on', 'i-10', 'west', 'before', 'exit', '45', 'holt', 'right', 'lane', 'blocked', 'last', 'updated', 'at', '…']"
920117242909642752,fl511_panhandl,2017-10-17,new: planned construction in jackson on i-10 east at exit 152 left lane blocked last updated at 10:40:00pm #fl511   …,02:40:20,Florida,"['new:', 'planned', 'construction', 'in', 'jackson', 'on', 'i-10', 'east', 'at', 'exit', '152', 'left', 'lane', 'blocked', 'last', 'updated', 'at', '10:40:00pm', '#fl511', '…']"
920099879057162241,fl511_panhandl,2017-10-17,new: planned construction in okaloosa on i-10 east at mm 49 left lane blocked last updated at 09:30:48pm #fl511   …,01:31:20,Florida,"['new:', 'planned', 'construction', 'in', 'okaloosa', 'on', 'i-10', 'east', 'at', 'mm', '49', 'left', 'lane', 'blocked', 'last', 'updated', 'at', '09:30:48pm', '#fl511', '…']"
920099126624374784,fl511_panhandl,2017-10-17,new: planned construction in okaloosa on i-10 west before exit 45 holt right lane blocked last updated at  …,01:28:21,Florida,"['new:', 'planned', 'construction', 'in', 'okaloosa', 'on', 'i-10', 'west', 'before', 'exit', '45', 'holt', 'right', 'lane', 'blocked', 'last', 'updated', 'at', '…']"
